h3_cell,dominant_police_station,dominant_junction_name,priority_score,priority_tier,estimated_capacity_loss_pct,share_12-18,shift_priority_12-18
886189272dfffff,Bellandur,No Junction,55.16688144329896,P1,10.725000000000001,1.0,55.16688144329896
88601458e5fffff,Kamakshipalya,No Junction,45.90824742268042,P2,6.975823136818687,1.0,45.90824742268042
8861892cc3fffff,K.G. Halli,No Junction,44.90451030927835,P2,11.916666666666668,1.0,44.90451030927835
8860145987fffff,No Police Station,No Junction,61.64819587628865,P0,24.936821797106273,0.7142857142857143,44.03442562592047
8860145a51fffff,Banashankari,No Junction,56.20876288659794,P1,17.29020001679684,0.7777777777777778,43.717926689576174
8861892ce9fffff,Hennuru,No Junction,61.58221649484537,P0,6.781560777175683,0.6756756756756757,41.60960573976038
8860145aadfffff,Jnanabharathi,No Junction,41.343556701030934,P2,13.704166666666667,1.0,41.343556701030934
8861892c35fffff,Hennuru,No Junction,53.4360824742268,P1,12.76877769487556,0.7647058823529411,40.862886597938136
8860169693fffff,Chikkabanavara,No Junction,40.76404639175258,P3,11.916666666666668,1.0,40.76404639175258
8860145169fffff,Thalagattapura,No Junction,40.39291237113402,P3,11.916666666666668,1.0,40.39291237113402
88618924b3fffff,K.S. Layout,No Junction,58.547938144329905,P1,12.185064965494366,0.6838235294117647,40.03645770163736
8860145967fffff,Jalahalli,No Junction,47.45902061855671,P2,12.729553571428577,0.8333333333333334,39.549183848797256
8861892cb1fffff,Kodigehalli,No Junction,68.54355670103092,P0,13.42968241471171,0.5664018161180476,38.82319499865429
886014592dfffff,Yelahanka,No Junction,43.00322164948453,P2,8.395508417182661,0.9,38.702899484536076
8860169723fffff,Chikkajala,No Junction,37.459149484536084,P3,12.914663752221747,1.0,37.459149484536084
88618924d1fffff,Thalagattapura,No Junction,37.459149484536084,P3,12.914663752221747,1.0,37.459149484536084
8860169741fffff,Chikkajala,No Junction,37.459149484536084,P3,12.914663752221747,1.0,37.459149484536084
8861892639fffff,Electronic City,No Junction,53.09201030927835,P1,9.087251471002052,0.6916786916786917,36.72261222931326
8860145a0dfffff,Banashankari,No Junction,62.61932989690723,P0,13.67447513840235,0.5797101449275363,36.30106080980129
8861892463fffff,HSR Layout,No Junction,35.63904639175257,P3,12.512500000000003,1.0,35.63904639175257
