h3_cell,dominant_police_station,dominant_junction_name,priority_score,priority_tier,estimated_capacity_loss_pct,share_00-06,shift_priority_00-06
8861892717fffff,Electronic City,No Junction,63.92190721649484,P0,17.99875,1.0,63.92190721649484
88618920cbfffff,Whitefield,No Junction,69.45786082474227,P0,23.205380859375,0.875,60.775628221649484
8860169051fffff,Chikkajala,No Junction,67.87860824742268,P0,17.18779629216696,0.8688524590163934,58.976495690383636
8861892181fffff,Mahadevapura,No Junction,56.05322164948454,P1,28.153125000000003,1.0,56.05322164948454
8861892f61fffff,K.R. Pura,No Junction,55.423582474226805,P1,78.82875000000001,1.0,55.423582474226805
8860169669fffff,Yelahanka,No Junction,59.81108247422681,P1,16.08415611598943,0.901775147928994,53.936147745989146
8860145a5dfffff,K.S. Layout,No Junction,53.90257731958763,P1,18.018,1.0,53.90257731958763
8861892443fffff,Electronic City,No Junction,63.9659793814433,P0,41.5985756199928,0.8260869565217391,52.84146122814881
8861892447fffff,Hulimavu,No Junction,70.434793814433,P0,28.74268414750034,0.7434782608695653,52.36673800986105
8861892517fffff,Ashok Nagar,No Junction,65.91932989690721,P0,22.115872192382813,0.7916666666666666,52.18613616838488
8861892cc5fffff,K.G. Halli,No Junction,67.64793814432991,P0,26.001263341686755,0.7704590818363274,52.11996831080109
8860169057fffff,Chikkajala,No Junction,58.785695876288656,P1,18.880983851389818,0.8855721393034826,52.058974457608855
88601451e5fffff,Kengeri,No Junction,51.90940721649484,P1,23.77375,1.0,51.90940721649484
8861892645fffff,Electronic City,No Junction,60.28118556701031,P0,49.88964792900185,0.8611111111111112,51.90879868270333
88618934e7fffff,No Police Station,No Junction,51.76353092783505,P2,25.337812500000002,1.0,51.76353092783505
88618924a1fffff,J.P. Nagar,"BTP117 - 9th Cross, Kanakapura Road",63.90592783505155,P0,30.628216636999817,0.8092643051771117,51.71678628613164
88601692a5fffff,Chikkajala,No Junction,51.323582474226804,P2,22.522499999999997,1.0,51.323582474226804
886014588bfffff,No Police Station,No Junction,51.245489690721655,P2,13.138124999999999,1.0,51.245489690721655
8860145ae1fffff,Jnanabharathi,No Junction,50.436469072164954,P2,20.645625000000003,1.0,50.436469072164954
8860145aa9fffff,Jnanabharathi,No Junction,50.080670103092785,P2,16.891875,1.0,50.080670103092785
